Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,PLLs and CCCs,Chip Globals,HPMS,10/100/1000 Ethernet
Primitives/Primitives,1,0,49,0,2,0,0
test_0/Primitives,18,48,8,0,4,0,0
test_0/u100/DSD138/UIN100/Primitives,10,6,0,0,3,0,0
test_0/u100/DSD138/UIN100/UCK0/Primitives,19,5,0,0,0,0,0
test_0/u100/Primitives,487,144,0,0,2,0,0
test_0/u100/UCRC/Primitives,2,7,0,0,0,0,0
test_0/u100/UD100/Primitives,200,104,0,0,0,0,0
test_0/u100/UD100/UCRC0/Primitives,3,16,0,0,0,0,0
test_0/u100/UD100/UCRC1/Primitives,3,16,0,0,0,0,0
test_0/u100/UD100/UCRC2/Primitives,3,16,0,0,0,0,0
test_0/u100/UD100/UCRC3/Primitives,3,16,0,0,0,0,0
test_0/u100/UDOP/Primitives,44,102,0,0,1,0,0
test_0/u100/UDSDTX/Primitives,71,69,0,0,0,0,0
test_0/u100/UPCMTX/Primitives,74,71,0,0,0,0,0
test_0/u100/USPDIF_TX/Primitives,152,70,0,0,1,0,0
test_0/u100/uctrl/Primitives,98,112,0,0,1,0,0
test_0/u100/uctrl/ufifo/Primitives,147,221,0,0,0,0,0
test_0/u100/uctrl/usync100/Primitives,3,10,0,0,0,0,0
test_0/u100/uctrl/usync101/Primitives,3,10,0,0,0,0,0
test_0/u100/uctrl/usync102/Primitives,3,14,0,0,0,0,0
test_0/u100/uctrl/usync600/Primitives,3,10,0,0,0,0,0
test_0/u200/Primitives,23,18,0,0,0,0,0
u8_sb_0/CCC_0/Primitives,0,0,0,1,1,0,0
u8_sb_0/CORERESETP_0/Primitives,2,10,0,0,1,0,0
u8_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,8,20,0,0,0,0,0
u8_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/Primitives,54,1,0,0,0,0,0
u8_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/slave_arbiter/Primitives,16,5,0,0,0,0,0
u8_sb_0/u8_sb_HPMS_0/Primitives,32,0,0,0,0,1,0
