
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. u8, 1130, 1252, 201, 0, 0, 0, 0, 18, 57
.	. test, 1094, 1140, 201, 0, 0, 0, 0, 12, 8
.	.	. clock138master, 18, 8, 15, 0, 0, 0, 0, 1, 0
.	.	. sdtop, 1027, 1114, 186, 0, 0, 0, 0, 9, 0
.	.	.	. crc7, 7, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. dop_gear, 102, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	. dsd_tx, 68, 40, 0, 0, 0, 0, 0, 1, 0
.	.	.	. mem_controller, 377, 274, 58, 0, 0, 0, 0, 1, 0
.	.	.	.	. bigfifo, 221, 90, 58, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_1s_0, 10, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_1s_2, 10, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_1s_2_0, 10, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sync_logic_3s, 14, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. pcm2dsd, 11, 17, 10, 0, 0, 0, 0, 3, 0
.	.	.	.	. inctrl, 11, 17, 10, 0, 0, 0, 0, 3, 0
.	.	.	.	.	. clock_divider, 5, 13, 4, 0, 0, 0, 0, 0, 0
.	.	.	. pcm_tx, 39, 36, 6, 0, 0, 0, 0, 1, 0
.	.	.	. sd_data, 168, 167, 35, 0, 0, 0, 0, 1, 0
.	.	.	.	. crc16, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_0, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_1, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc16_2, 16, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spdif_tx, 70, 104, 47, 0, 0, 0, 0, 0, 0
.	. u8_sb, 36, 112, 0, 0, 0, 0, 0, 2, 0
.	.	. CoreAHBLite_Z4, 26, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_85_65536_0_0_0_0s, 26, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_85_65536_0s_0_1_0, 20, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 6, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_1, 5, 16, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z5, 10, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. u8_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. u8_sb_HPMS, 0, 32, 0, 0, 0, 0, 0, 0, 0
